County,Zone,Macro_Region,RAC4,RAC3,RAC2,RAC1,Understory,Grasslands_Type,Grasslands_Qual,Cane_Presence,Cane_Qual,Geology,Disturbance_Type,Human_Impact,Topography_Class
Anderson,Upland Ridges,Oak Hickory Pine Uplands,White Oak,Black-jack oak,Hickory,None noted,Sassafras,None noted,N/A,0,None noted,Sandy Tertiary matrix,None noted,0,Dark sandy upland timber crests
Angelina,Neches Bottoms,Long-leaf Pine Region,Oaks,Elm,Hickory,Beech,Bamboo,None noted,N/A,1,Dense wild peach cane brakes,Alluvial deposits,Seasonal Flooding,0,Heavily timbered level overflow basins
Archer,Ridge Prairies,Northwestern Red-Loam,Mesquite,Post Oak,None noted,None noted,Wild grasses,Red Loam Prairie,Deep red loam sandy matrix,0,None noted,Red sandstone layers,None noted,0,High rolling prairie plain
Atascosa,Prairie Loops,Southern Coast Prairie,Post Oak,Live Oak,None noted,None noted,Chaparral,Southern Prairies,Dry soils adapted to sheep grazing,0,None noted,Port Hudson sand blankets,None noted,0,Broad open plains and mesquite loops
Austin,Brazos Delta,Southern Coast Prairie,Live Oak,Oaks,Elm,Pecan,Long moss,Black Waxy Prairie,Hog-wallow structures; very stiff,1,Cane brakes on bottom margins,Brazos alluvial / Port Hudson,None noted,0,Level prairie and delta timber loops
Bandera,Quihi Valley,Central Black Prairie,Mesquite,Oak,None noted,None noted,Thorny shrubs,Southern Prairies,Sparsely covered valleys; fine grass,0,None noted,Cretaceous limestone floor,None noted,0,Beautiful valleys pent in by hills
Bastrop,Colorado Hills,Oak Hickory Pine Uplands,Post Oak,Red Oak,Black-jack oak,Hickory,Scrubby oaks,None noted,N/A,0,None noted,Ferruginous sandstones,None noted,0,Stony rolling upland pine margins
Baylor,Valley Flats,Northwestern Red-Loam,Mesquite,None noted,None noted,None noted,Scrubby brush,Red Loam Prairie,Stiff black clay areas in lowlands,0,None noted,Paleozoic limestone outcroppings,None noted,0,Broad open plains and flats
Bell,Washita Gaps,Central Black Prairie,Post Oak,Black-jack oak,Elm,Pecan,Wild grasses,Black Waxy Prairie,Highly fossiliferous limestone floor,0,None noted,Washita Cretaceous group,None noted,0,Rolling prairie cut by deep gaps
Bexar,San Antonio Basin,Central Black Prairie,Mesquite,Wesatche,Live Oak,Cedar,Chaparral thorns,Black Waxy Prairie,Tenacious black clay; high absorption,0,None noted,Cretaceous rotten limestone,None noted,0,Rolling prairie and mesquite thickets
Blanco,Stony Ridges,Central Black Prairie,Post Oak,Live Oak,Cedar,None noted,Chaparral,Southern Prairies,Stony and barren hills; limestone labs,0,None noted,Paleozoic limestone slabs,None noted,0,Hilly stony plains and ridges
Bosque,Leon Valleys,Central Black Prairie,Post Oak,Black-jack oak,Elm,Pecan,Wild grasses,Black Waxy Prairie,Yellow chalky limestone basis,0,None noted,Comanche Peak group,None noted,0,Castellated flat hills and valleys
Bowie,Upland Woods,Oak Hickory Pine Uplands,Red Oak,Post Oak,Black-jack oak,Short-leaf pine,Mounds undergrowth,Sandy Prairies,Boston Prairies silty level less productive,1,Switch cane/bamboo along valley channels,Tertiary sands and clays,None noted,0,Rolling timbered upland divides
Brazos,Navasota Fork,Central Black Prairie,Elm,Pecan,Hackberry,Oaks,Muscadine,Brown-loam Prairies,Rich brown loam surface over heavy clay,1,Cane thickets on river borders,Alluvial and Quaternary drift,None noted,0,Flat prairie interspersed with loops
Brown,Stony Plateau,Northwestern Red-Loam,Post Oak,Black-jack oak,None noted,None noted,Low stunted oak,Red Loam Prairie,Broad level summit; stunted oaks,0,None noted,Red sandstone ledges,None noted,0,Long high narrow ridges or divides
Burleson,Bottom Valleys,Central Black Prairie,Pin Oak,Pecan,Elm,Ash,Hackberry,San Antonio Prairie,Waxy valley lowlands; very durable,1,Switch cane near overflows,Alluvial silt matrix,None noted,0,Subject to overflow valley margins
Burnet,Shovel Mountain,Northwestern Red-Loam,Post Oak,Live Oak,Cedar,None noted,Wild grasses,Black Waxy Prairie,Capped by Caprina limestone rock,0,None noted,Caprina Cretaceous limestone,None noted,0,Castellated flat hills and valleys
Caldwell,Tehuacana line,Central Black Prairie,Post Oak,Black-jack oak,Hickory,None noted,Sassafras,Brown-loam Prairies,Soft sandstone framework below,0,None noted,Tertiary fossiliferous beds,None noted,0,Rolling prairie and sandy hills
Callahan,Ridge Divide,Northwestern Red-Loam,Post Oak,Black-jack oak,None noted,None noted,Low stunted oak,Red Loam Prairie,Broad level hilltops; stunted oak,0,None noted,Red sandstone ledges,None noted,0,High narrow ridges and valleys
Camp,Sandy Loam,Oak Hickory Pine Uplands,Oaks,Short-leaf pine,Hickory,None noted,Dark brush humus,None noted,N/A,0,None noted,Red and yellow sandy subsoils,None noted,0,Rolling well-timbered sandy interior
Cass,Upland Woods,Oak Hickory Pine Uplands,Short-leaf pine,Oaks,Hickory,None noted,Dogwood,None noted,N/A,0,None noted,Tertiary hills,None noted,0,Rolling and broken upland timber
Chambers,Mainland Coast,Southern Coast Prairie,Live Oak,None noted,None noted,None noted,Long moss,Southern Prairies,Open prairies extending to bluff edges,0,None noted,Port Hudson stiff clays,None noted,0,Perpendicular clay coastal bluffs
Cherokee,Nueces Belt,Oak Hickory Pine Uplands,Red Oak,Post Oak,Black-jack oak,Short-leaf pine,Scrubby brush,Brush Prairies,Being rapidly covered with scrubby oaks,0,None noted,Tertiary ferruginous hills,Fire Exclusion Encroachment,0,Isolated iron ore ridges and openings
Clay,Red River Valley,Northwestern Red-Loam,Mesquite,Post Oak,Black-jack oak,None noted,Scrubby undergrowth,Red Loam Prairie,Deep red loam; highly productive,1,Cane patches along Red River,Red clay sands,None noted,0,High rolling prairie near river
Coleman,Western Slopes,Northwestern Red-Loam,Mesquite,Live Oak,None noted,None noted,Chaparral thorns,Red Loam Prairie,High rolling prairie plains,0,None noted,Red clay sands,None noted,0,High rolling prairie plain
Collin,McKinney,Central Black Prairie,None noted,None noted,Elm,Hackberry,Wild grasses,Black Waxy Prairie,Typical black waxy adobe clay,0,None noted,Cretaceous rotten limestone,None noted,0,High rolling treeless prairie
Colorado,Columbus Flats,Southern Coast Prairie,Live Oak,Oaks,Elm,Pecan,Long moss,Black Waxy Prairie,Underlaid by blue clays with concretions,1,Cane brackets in lowlands,Port Hudson calcareous beds,None noted,0,Level prairie and dense stream timber
Comal,New Braunfels,Central Black Prairie,Post Oak,Cedar,Elm,Pecan,Wild grasses,Black Waxy Prairie,Austin limestone framework; soft layers,0,None noted,Austin Cretaceous limestone,None noted,0,Hilly rolling prairie plains
Comanche,Leon Crossings,Northwestern Red-Loam,Post Oak,Black-jack oak,None noted,None noted,Scrubby oaks,Upper Cross Timbers,Deep pure white sand tracks,0,None noted,Cretaceous sandstone floor,None noted,0,Timbered cross-belt plain
Cooke,Red River Loop,Central Black Prairie,Post Oak,Black-jack oak,Elm,Pecan,Wild grasses,Black Waxy Prairie,Underlaid by white rotten limestone,1,Cane lines on high water banks,Cretaceous limestone rock,None noted,0,Rolling prairie split by Cross Timbers
Dallas,Trinity Forks,Central Black Prairie,Elm,Hackberry,Pecan,Oaks,Wild grasses,Black Waxy Prairie,Tenacious deep black clay format,1,Switch cane in deep valleys,Cretaceous rotten limestone,None noted,0,High rolling prairie cut by valleys
De Witt,Hellgate Basin,Southern Coast Prairie,Live Oak,Oaks,Mesquite,None noted,Scrubby shrubs,Southern Prairies,High rolling sandy prairies on ridges,0,None noted,Grand Gulf sandstones,None noted,0,Rolling plains cut by steep arroyos
Denton,Trough Basin,Central Black Prairie,Post Oak,Black-jack oak,Elm,Hackberry,Greenbrier,Black Waxy Prairie,Deep trough filled with sands,0,None noted,Cretaceous sand/limestone,None noted,0,Level plains bounded by timbers
Eastland,Permian Hills,Northwestern Red-Loam,Post Oak,Black-jack oak,None noted,None noted,Scrubby oaks,Red Loam Prairie,Capped by reddish sandstone beds,0,None noted,Permian reddish sandstone,None noted,0,Hilly broken timber and ridges
Ellis,Ennis Sands,Central Black Prairie,None noted,None noted,Elm,Hackberry,Wild grasses,Black Sandy Prairie,Commingled black waxy and upland sand,0,None noted,Cretaceous limestone floor,None noted,0,Level black sandy prairie fields
Falls,Marlin Ridge,Central Black Prairie,None noted,None noted,Elm,Hackberry,None noted,Black Waxy Prairie,Rich durable black waxy format,1,Cane brakes near falls channel,Cretaceous rotten limestone,None noted,0,Prairie valleys and mixed woods
